บอกเหลยย	1
เมื่อวาน	1
ครีเอท	1
เปล่า	1
สิง	1
ยังอยู่	1
เด็ก	4
เฮีย	7
เอ็นโดฟิน	1
ทีน	1
เดิม	1
เสียงดี	2
ยิ้ม	1
โห	1
ทุก	1
เศร้า	1
โดย	2
้องเพลงเพื่อนสนิทเป็นตัวแทนเมียพี่เ	1
มัน	6
มั้ย	1
เอ็น	2
ว่ะ	2
เช่น	1
กันที่	1
ใจดี	1
อิจ	1
ว่า	12
หวีด	1
ศิลปิน	1
จริงๆ	5
จะ	15
ห้วย	1
นะ	7
ตอนแรก	1
เขา	3
เอกลักษณ์	1
โว้ย	1
ทะเล	2
รัก	5
เหมือนเดิม	2
เอา	2
งื	1
กำ	1
ต่อ	1
โคตร	7
แต่	12
ตอนที่	2
อ่า	1
ร้อย	1
ก็	10
เพลง	21
ตัวจริง	1
บบ	2
ยอมแล้	1
ข้างนอก	1
ี่แซ่บเผ็ช	1
ทำได้	1
ทั้งนั้น	1
ไหน	4
แฟน	3
ผม	4
ึงโอ้โห้ยอมแล้วทูลหัวอยากมีผัวเป็นดาเอ็นโดร#teamda	1
!	1
แต่เพียง	1
ฟังเพลง	2
ยอมรับ	1
ใบ	1
สนุก	2
ยาวนาน	1
รั	1
คิดถึง	2
เพิ่ง	3
ปี	8
ตั้งแต่	4
ทำไม	1
SS1SS.	1
ไบโอ	1
ซีซั่น	4
แชมป์	1
#ThevoiceTh	1
#WJSN	1
ลูกทีม	1
เข้ามา	1
คนเดียว	1
ร้อง	14
มุก	1
#	8
น้องสาว	1
ถึง	2
พั	1
ค่อย	1
ด้วย	2
โอ๊ย	1
ชีวิต	1
แสน	1
มอ	1
ก้อ	1
ขนลุก	1
วันนี้	3
เทพ	1
แม่	1
แบบนี้	6
ของ	7
ซึ้ง	2
คนโต	1
ถือว่า	1
2	1
เทย	1
ไปดู	1
ยัน	1
ถ้า	2
โค้ชดาแซ่บ	1
ร้องไห้	3
ชุด	1
้องไห้แทนพี่เ	1
เค้า	4
ทู	1
เเล้ว	1
T	2
วะ	2
อี้	3
ฟี	1
ถึงกู๋ว	1
แฟนคลับ	1
ไม่ได้	6
รายการ	3
ดนตรี	1
จัง	1
เล็ด	1
ตลอด	5
#tanontchumreon	1
ที่สุด	2
เป็น	13
เลยเถิด	1
เยอะ	1
นาน	1
นอกใจแปป	1
สำหรับ	2
httpsyoutu.bequrMKS2R2u8	1
ผู้ชาย	1
รู้	3
เอง	2
อนุบาล	1
ฟิน	4
ค่ะ	1
ไม่เคย	2
ต้อง	7
คนดู	1
เงียบ	1
เวที	1
ตลอดเวลา	1
#TeamDA	1
ๆ	12
คิด	3
เด็ด	1
ย้อนหลัง	5
แย่ง	1
เปิดตัว	1
กลับ	1
ชอบ	19
จาก	1
จริง	1
แตมป์	2
ถึงแม้พี่เ	1
#TheVoiceTH	2
ใจ	1
ห่าง	1
แค่	2
ฝาก	1
อมตะ	1
สาม	1
น้อยกว่า	1
ดู	23
ไอดอล	1
เขว	1
วน	2
ไกล	1
สุด	1
ม.	3
ห้า	1
แรก	4
เวลา	2
จิงๆ	1
โชว์	4
หน้า	2
ฟัง	11
เพื่อ	1
คง	1
พีค	2
แซ่บ	1
เออ	1
เสียชีวิต	3
ขุด	1
ปน	1
ทั้งตัว	1
ติ่ง	1
ซึม	1
แน่	1
เคย	4
The	1
งาน	1
ตอน	13
เมือง	1
ดาน	1
กล้วย	1
ผู้ใหญ่	1
นะคะ	1
ปอง	1
#ทีมดา#	1
โอ๋ยย	1
สห	1
กรอบ	1
กระท่อม	1
ครั้ง	1
เก่า	1
ตาล	2
ดีกว่า	1
อมา	1
ชั้น	1
ไม่	6
ชิบหาย	1
นาง	7
อะไร	6
อีกที	1
บังเกิด	1
วีค	2
กรรมการ	1
ไทย	2
คนกลาง	1
#ThemDa	1
ปีก่อน	1
ขนาด	1
เมา	1
รอ	2
ก่อน	2
ป.1	1
วาย	1
ปิดท้าย	1
ดาร	1
ออกตัว	1
คอมเม้นท์	1
แอบ	1
เป็นหนึ่ง	1
ออก	2
ความ	3
โจ้	2
อ้อน	1
ก้อง	8
